GO:0060321,acceptance of pollen
GO:0009923,fatty acid elongase complex
GO:0030897,HOPS complex
GO:0071256,translocon complex
GO:0010598,NAD(P)H dehydrogenase complex (plastoquinone)
GO:0009539,photosystem II reaction center
GO:0030117,membrane coat
GO:0098797,plasma membrane protein complex
GO:0000814,ESCRT II complex
GO:0098803,respiratory chain complex
GO:0030904,retromer complex
GO:0030119,AP-type membrane coat adaptor complex
GO:0009782,photosystem I antenna complex
GO:0009521,photosystem
GO:0000835,ER ubiquitin ligase complex
GO:0010006,Toc complex
GO:0098800,inner mitochondrial membrane protein complex
GO:0000813,ESCRT I complex
GO:0046930,pore complex
GO:0033178,"proton-transporting two-sector ATPase complex, catalytic domain"
GO:0005785,signal recognition particle receptor complex
GO:0005787,signal peptidase complex
GO:0031502,dolichyl-phosphate-mannose-protein mannosyltransferase complex
GO:0005942,phosphatidylinositol 3-kinase complex
GO:0042765,GPI-anchor transamidase complex
GO:0036513,Derlin-1 retrotranslocation complex
GO:0045267,"proton-transporting ATP synthase, catalytic core"
GO:0031205,endoplasmic reticulum Sec complex
GO:1902495,transmembrane transporter complex
GO:0072546,ER membrane protein complex
GO:0033177,"proton-transporting two-sector ATPase complex, proton-transporting domain"
GO:0000815,ESCRT III complex
GO:0030964,NADH dehydrogenase complex
GO:0009783,photosystem II antenna complex
GO:0098799,outer mitochondrial membrane protein complex
GO:0009538,photosystem I reaction center
GO:0008250,oligosaccharyltransferase complex
GO:0009654,photosystem II oxygen evolving complex
GO:0016469,proton-transporting two-sector ATPase complex
GO:0031201,SNARE complex
GO:0098807,chloroplast thylakoid membrane protein complex
GO:0031256,leading edge membrane
GO:0098797,plasma membrane protein complex
GO:0009897,external side of plasma membrane
GO:0031226,intrinsic component of plasma membrane
GO:0098590,plasma membrane region
GO:0016328,lateral plasma membrane
GO:0009898,cytoplasmic side of plasma membrane
GO:0019897,extrinsic component of plasma membrane
GO:0070470,plasma membrane respiratory chain
GO:0031227,intrinsic component of endoplasmic reticulum membrane
GO:0031225,anchored component of membrane
GO:0031226,intrinsic component of plasma membrane
GO:0016021,integral component of membrane
GO:0031360,intrinsic component of thylakoid membrane
GO:0031300,intrinsic component of organelle membrane
GO:0099512,supramolecular fiber
GO:0000798,nuclear cohesin complex
GO:0044798,nuclear transcription factor complex
GO:0030286,dynein complex
GO:0071013,catalytic step 2 spliceosome
GO:1905360,GTPase complex
GO:1905348,endonuclease complex
GO:1990204,oxidoreductase complex
GO:1905368,peptidase complex
GO:0000172,ribonuclease MRP complex
GO:1905354,exoribonuclease complex
GO:0005950,anthranilate synthase complex
GO:0000015,phosphopyruvate hydratase complex
GO:1990234,transferase complex
GO:0009341,beta-galactosidase complex
GO:0000118,histone deacetylase complex
GO:0005951,carbamoyl-phosphate synthase complex
GO:0043033,isoamylase complex
GO:0030964,NADH dehydrogenase complex
GO:0071012,catalytic step 1 spliceosome
GO:0009328,phenylalanine-tRNA ligase complex
GO:1903600,glutaminase complex
GO:0031510,SUMO activating enzyme complex
GO:0031429,box H/ACA snoRNP complex
GO:0033202,DNA helicase complex
GO:0042765,GPI-anchor transamidase complex
GO:1904949,ATPase complex
GO:1903293,phosphatase complex
GO:0032133,chromosome passenger complex
GO:0008352,katanin complex
GO:0070652,HAUS complex
GO:0030286,dynein complex
GO:0005871,kinesin complex
GO:0030991,intraciliary transport particle A
GO:0000145,exocyst
GO:0033263,CORVET complex
GO:0017119,Golgi transport complex
GO:0000938,GARP complex
GO:0030897,HOPS complex
GO:0030008,TRAPP complex
GO:0031262,Ndc80 complex
GO:0000777,condensed chromosome kinetochore
GO:1990423,RZZ complex
GO:0030692,Noc4p-Nop14p complex
GO:0030690,Noc1p-Noc2p complex
GO:0030691,Noc2p-Noc3p complex
GO:0030015,CCR4-NOT core complex
GO:0071818,BAT3 complex
GO:0005847,mRNA cleavage and polyadenylation specificity factor complex
GO:0005942,phosphatidylinositol 3-kinase complex
GO:0042765,GPI-anchor transamidase complex
GO:0046930,pore complex
GO:0033178,"proton-transporting two-sector ATPase complex, catalytic domain"
GO:0005787,signal peptidase complex
GO:0031502,dolichyl-phosphate-mannose-protein mannosyltransferase complex
GO:0005785,signal recognition particle receptor complex
GO:0045267,"proton-transporting ATP synthase, catalytic core"
GO:0031205,endoplasmic reticulum Sec complex
GO:0036513,Derlin-1 retrotranslocation complex
GO:1902495,transmembrane transporter complex
GO:0033177,"proton-transporting two-sector ATPase complex, proton-transporting domain"
GO:0072546,ER membrane protein complex
GO:0030964,NADH dehydrogenase complex
GO:0009783,photosystem II antenna complex
GO:0000815,ESCRT III complex
GO:0098799,outer mitochondrial membrane protein complex
GO:0009538,photosystem I reaction center
GO:0009654,photosystem II oxygen evolving complex
GO:0008250,oligosaccharyltransferase complex
GO:0098807,chloroplast thylakoid membrane protein complex
GO:0016469,proton-transporting two-sector ATPase complex
GO:0031201,SNARE complex
GO:0000506,glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0071256,translocon complex
GO:0009923,fatty acid elongase complex
GO:0030897,HOPS complex
GO:0009539,photosystem II reaction center
GO:0010598,NAD(P)H dehydrogenase complex (plastoquinone)
GO:0098803,respiratory chain complex
GO:0098797,plasma membrane protein complex
GO:0030117,membrane coat
GO:0000814,ESCRT II complex
GO:0030119,AP-type membrane coat adaptor complex
GO:0030904,retromer complex
GO:0009782,photosystem I antenna complex
GO:0009521,photosystem
GO:0000835,ER ubiquitin ligase complex
GO:0010006,Toc complex
GO:0098800,inner mitochondrial membrane protein complex
GO:0000813,ESCRT I complex
GO:1990726,Lsm1-7-Pat1 complex
GO:0034715,pICln-Sm protein complex
GO:0034719,SMN-Sm protein complex
GO:0030532,small nuclear ribonucleoprotein complex
GO:0000445,THO complex part of transcription export complex
GO:0010318,"pyrophosphate-dependent phosphofructokinase complex, beta-subunit complex"
GO:0000446,nucleoplasmic THO complex
GO:0000445,THO complex part of transcription export complex
GO:0035101,FACT complex
GO:0032783,ELL-EAF complex
GO:0000446,nucleoplasmic THO complex
GO:0016593,Cdc73/Paf1 complex
GO:0070449,elongin complex
GO:0071541,"eukaryotic translation initiation factor 3 complex, eIF3m"
GO:0005845,mRNA cap binding complex
GO:0005846,nuclear cap binding complex
GO:0008275,gamma-tubulin small complex
GO:0000931,gamma-tubulin large complex
GO:0005664,nuclear origin of replication recognition complex
GO:0016461,unconventional myosin complex
GO:0009512,cytochrome b6f complex
GO:0045275,respiratory chain complex III
GO:0045277,respiratory chain complex IV
GO:0009840,chloroplastic endopeptidase Clp complex
GO:0070762,nuclear pore transmembrane ring
GO:0044613,nuclear pore central transport channel
GO:0044611,nuclear pore inner ring
GO:0044614,nuclear pore cytoplasmic filaments
GO:0031080,nuclear pore outer ring
GO:0044615,nuclear pore nuclear basket
GO:0031083,BLOC-1 complex
GO:0019773,"proteasome core complex, alpha-subunit complex"
GO:0090568,nuclear transcriptional repressor complex
GO:0005838,proteasome regulatory particle
GO:0009503,thylakoid light-harvesting complex
GO:0042719,mitochondrial intermembrane space protein transporter complex
GO:1990429,peroxisomal importomer complex
GO:1902495,transmembrane transporter complex
GO:0030532,small nuclear ribonucleoprotein complex
GO:0005732,small nucleolar ribonucleoprotein complex
GO:0030677,ribonuclease P complex
GO:0035770,ribonucleoprotein granule
GO:0005844,polysome
GO:0044391,ribosomal subunit
GO:0030684,preribosome
GO:0043614,multi-eIF complex
GO:0005697,telomerase holoenzyme complex
GO:0005840,ribosome
GO:0048500,signal recognition particle
GO:0031332,RNAi effector complex
GO:0070993,translation preinitiation complex
GO:0005681,spliceosomal complex
GO:0043626,PCNA complex
GO:0005762,mitochondrial large ribosomal subunit
GO:0042719,mitochondrial intermembrane space protein transporter complex
GO:0098799,outer mitochondrial membrane protein complex
GO:0005761,mitochondrial ribosome
GO:0005763,mitochondrial small ribosomal subunit
GO:0098800,inner mitochondrial membrane protein complex
GO:0000109,nucleotide-excision repair complex
GO:0032300,mismatch repair complex
GO:0036387,pre-replicative complex
GO:0000782,telomere cap complex
GO:1990077,primosome complex
GO:0031261,DNA replication preinitiation complex
GO:0030894,replisome
GO:0000786,nucleosome
GO:0045240,dihydrolipoyl dehydrogenase complex
GO:0033063,Rad51B-Rad51C-Rad51D-XRCC2 complex
GO:0000796,condensin complex
GO:0000786,nucleosome
GO:0000818,nuclear MIS12/MIND complex
GO:1990429,peroxisomal importomer complex
GO:0008540,"proteasome regulatory particle, base subcomplex"
GO:0008541,"proteasome regulatory particle, lid subcomplex"
GO:0030931,heterotetrameric ADPG pyrophosphorylase complex
GO:0000814,ESCRT II complex
GO:0000815,ESCRT III complex
GO:0000813,ESCRT I complex
GO:1903561,extracellular vesicle
GO:0001527,microfibril
GO:0044420,extracellular matrix component
GO:0070062,extracellular exosome
